,Restaurant Name,URL,no of reviews
65,Longman & Eagle,https://www.yelp.com/biz/longman-and-eagle-chicago,"(2,558 reviews)"
66,Community Tavern,https://www.yelp.com/biz/community-tavern-chicago-3,(666 reviews)
67,Sepia,https://www.yelp.com/biz/sepia-chicago,"(1,273 reviews)"
68,Bar Mar by José Andrés,https://www.yelp.com/biz/bar-mar-by-jos%C3%A9-andr%C3%A9s-chicago,(335 reviews)
69,Chicago Pizza And Oven Grinder Company,https://www.yelp.com/biz/chicago-pizza-and-oven-grinder-company-chicago,"(2,991 reviews)"
70,Green Street Smoked Meats,https://www.yelp.com/biz/green-street-smoked-meats-chicago,"(2,045 reviews)"
71,Armitage Alehouse,https://www.yelp.com/biz/armitage-alehouse-chicago,(251 reviews)
72,Dove’s Luncheonette,https://www.yelp.com/biz/doves-luncheonette-chicago,(745 reviews)
73,Ella Elli,https://www.yelp.com/biz/ella-elli-chicago,(413 reviews)
74,Temporis,https://www.yelp.com/biz/temporis-chicago,(144 reviews)
75,Ramen Wasabi,https://www.yelp.com/biz/ramen-wasabi-chicago,"(2,149 reviews)"
76,Gibsons Italia,https://www.yelp.com/biz/gibsons-italia-chicago-2,(812 reviews)
77,Alla Vita,https://www.yelp.com/biz/alla-vita-chicago,(406 reviews)
78,Do-Rite Donuts & Chicken,https://www.yelp.com/biz/do-rite-donuts-and-chicken-chicago-4,"(1,425 reviews)"
79,Tzuco,https://www.yelp.com/biz/tzuco-chicago,(593 reviews)
80,Dusek’s Tavern & Dining Room,https://www.yelp.com/biz/duseks-tavern-and-dining-room-chicago,"(1,014 reviews)"
81,EL Ideas,https://www.yelp.com/biz/el-ideas-chicago-2,(368 reviews)
82,Giant,https://www.yelp.com/biz/giant-chicago-2,(637 reviews)
83,Volare Ristorante Italiano,https://www.yelp.com/biz/volare-ristorante-italiano-chicago,"(2,699 reviews)"
84,Wildberry Pancakes and Cafe,https://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-4,"(1,539 reviews)"
85,STK Steakhouse,https://www.yelp.com/biz/stk-steakhouse-chicago-2,"(1,544 reviews)"
86,The Warbler,https://www.yelp.com/biz/the-warbler-chicago-2,(467 reviews)
87,Beatrix - River North,https://www.yelp.com/biz/beatrix-river-north-chicago-2,"(2,411 reviews)"
88,Giordano’s,https://www.yelp.com/biz/giordanos-chicago-30,"(3,618 reviews)"
89,Smyth,https://www.yelp.com/biz/smyth-chicago,(275 reviews)
90,Ocean Prime,https://www.yelp.com/biz/ocean-prime-chicago,(323 reviews)
91,The Whale Chicago,https://www.yelp.com/biz/the-whale-chicago-chicago,(911 reviews)
92,Antique Taco,https://www.yelp.com/biz/antique-taco-chicago,"(1,360 reviews)"
93,Robert’s Pizza and Dough,https://www.yelp.com/biz/roberts-pizza-and-dough-chicago,(829 reviews)
94,Forbidden Root,https://www.yelp.com/biz/forbidden-root-chicago,(584 reviews)
95,Fatpour Tap Works Wicker Park,https://www.yelp.com/biz/fatpour-tap-works-wicker-park-chicago,(674 reviews)
96,SUSHI-SAN,https://www.yelp.com/biz/sushi-san-chicago,(944 reviews)
97,RAMEN-SAN,https://www.yelp.com/biz/ramen-san-chicago,"(2,916 reviews)"
98,Alpana,https://www.yelp.com/biz/alpana-chicago,(191 reviews)
99,Roister,https://www.yelp.com/biz/roister-chicago-2,(904 reviews)
100,Revolution Brewing,https://www.yelp.com/biz/revolution-brewing-chicago,"(2,197 reviews)"
101,Range,https://www.yelp.com/biz/range-chicago,(346 reviews)
102,Eddie V’s Prime Seafood,https://www.yelp.com/biz/eddie-vs-prime-seafood-chicago-4,(852 reviews)
103,Small Cheval- Wicker Park,https://www.yelp.com/biz/small-cheval-wicker-park-chicago,"(1,393 reviews)"
104,BLVD Steakhouse,https://www.yelp.com/biz/blvd-steakhouse-chicago-2,(686 reviews)
105,The Bongo Room,https://www.yelp.com/biz/the-bongo-room-chicago,"(1,690 reviews)"
106,Shaw’s Crab House,https://www.yelp.com/biz/shaws-crab-house-chicago,"(2,566 reviews)"
107,Mable’s Table,https://www.yelp.com/biz/mables-table-chicago,(369 reviews)
108,Cherry Circle Room,https://www.yelp.com/biz/cherry-circle-room-chicago,(442 reviews)
109,Pinched on the River,https://www.yelp.com/biz/pinched-on-the-river-chicago,(385 reviews)
110,Tortello,https://www.yelp.com/biz/tortello-chicago,(406 reviews)
111,Batter & Berries,https://www.yelp.com/biz/batter-and-berries-chicago,"(3,457 reviews)"
112,The Publican,https://www.yelp.com/biz/the-publican-chicago,"(3,398 reviews)"
113,Ciccio Mio,https://www.yelp.com/biz/ciccio-mio-chicago-2,(393 reviews)
114,Lula Cafe,https://www.yelp.com/biz/lula-cafe-chicago-3,"(2,172 reviews)"
115,The Loyalist,https://www.yelp.com/biz/the-loyalist-chicago-3,(552 reviews)
116,Oiistar,https://www.yelp.com/biz/oiistar-chicago,"(1,116 reviews)"
117,Antico,https://www.yelp.com/biz/antico-chicago,(268 reviews)
118,Earls Kitchen + Bar,https://www.yelp.com/biz/earls-kitchen-bar-chicago,(620 reviews)
119,Michael Jordan’s Steak House - Chicago,https://www.yelp.com/biz/michael-jordans-steak-house-chicago-chicago,"(1,221 reviews)"
120,Beatrix - Streeterville,https://www.yelp.com/biz/beatrix-streeterville-chicago-2,"(1,234 reviews)"
121,RPM Seafood,https://www.yelp.com/biz/rpm-seafood-chicago,
122,The Franklin Room,https://www.yelp.com/biz/the-franklin-room-chicago,(583 reviews)
123,Piece Brewery and Pizzeria,https://www.yelp.com/biz/piece-brewery-and-pizzeria-chicago,"(3,839 reviews)"
124,Big Star,https://www.yelp.com/biz/big-star-chicago,"(3,414 reviews)"
125,Le Colonial Chicago,https://www.yelp.com/biz/le-colonial-chicago-chicago-2,"(1,548 reviews)"
126,Hub 51,https://www.yelp.com/biz/hub-51-chicago-2,"(1,980 reviews)"
127,Greek Islands Restaurant,https://www.yelp.com/biz/greek-islands-restaurant-chicago,"(2,097 reviews)"
128,Folklore Argentine Grill,https://www.yelp.com/biz/folklore-argentine-grill-chicago,(793 reviews)
129,Nobu Chicago,https://www.yelp.com/biz/nobu-chicago-chicago-2,(292 reviews)
130,Gilt Bar,https://www.yelp.com/biz/gilt-bar-chicago,"(1,929 reviews)"
131,Leña Brava,https://www.yelp.com/biz/le%C3%B1a-brava-chicago-2,(600 reviews)
