,Restaurant Name,URL,no of reviews
88,ATX Cocina,https://www.yelp.com/biz/atx-cocina-austin,(651 reviews)
89,Stiles Switch BBQ & Brew,https://www.yelp.com/biz/stiles-switch-bbq-and-brew-austin,"(1,924 reviews)"
90,North Italia,https://www.yelp.com/biz/north-italia-austin-3,(678 reviews)
91,TenTen,https://www.yelp.com/biz/tenten-austin-2,(401 reviews)
92,Roaring Fork,https://www.yelp.com/biz/roaring-fork-austin,"(1,279 reviews)"
93,Irene’s,https://www.yelp.com/biz/irenes-austin,(700 reviews)
94,The Peached Tortilla,https://www.yelp.com/biz/the-peached-tortilla-austin-3,"(1,019 reviews)"
95,MezzeMe,https://www.yelp.com/biz/mezzeme-austin-2,(472 reviews)
96,Gino’s Vino Osteria,https://www.yelp.com/biz/ginos-vino-osteria-austin,(414 reviews)
97,The Carillon,https://www.yelp.com/biz/the-carillon-austin-2,(317 reviews)
98,Carpenters Hall,https://www.yelp.com/biz/carpenters-hall-austin,(181 reviews)
99,The Roosevelt Room,https://www.yelp.com/biz/the-roosevelt-room-austin,(739 reviews)
100,L’Oca d’Oro,https://www.yelp.com/biz/l-oca-d-oro-austin,(509 reviews)
101,5280 Burger and Taphouse,https://www.yelp.com/biz/5280-burger-and-taphouse-austin,(186 reviews)
102,Mandola’s Italian,https://www.yelp.com/biz/mandolas-italian-austin-2,"(1,115 reviews)"
103,Sazan Ramen,https://www.yelp.com/biz/sazan-ramen-austin,(368 reviews)
104,Hopfields,https://www.yelp.com/biz/hopfields-austin,(567 reviews)
105,The Grove Wine Bar & Kitchen,https://www.yelp.com/biz/the-grove-wine-bar-and-kitchen-austin-5,(407 reviews)
106,Fonda San Miguel,https://www.yelp.com/biz/fonda-san-miguel-austin-7,"(1,132 reviews)"
107,Mandala Kitchen & Bar,https://www.yelp.com/biz/mandala-kitchen-and-bar-austin-2,(293 reviews)
108,Foreign & Domestic,https://www.yelp.com/biz/foreign-and-domestic-austin,(857 reviews)
109,Musashino Sushi Dokoro,https://www.yelp.com/biz/musashino-sushi-dokoro-austin,(822 reviews)
110,Gusto Italian Kitchen & Wine Bar,https://www.yelp.com/biz/gusto-italian-kitchen-and-wine-bar-austin,(484 reviews)
111,Nightcap,https://www.yelp.com/biz/nightcap-austin,(327 reviews)
112,Gràcia Mediterranean,https://www.yelp.com/biz/gr%C3%A0cia-mediterranean-austin,(36 reviews)
113,Bar Peached,https://www.yelp.com/biz/bar-peached-austin,(489 reviews)
114,Jeffrey’s,https://www.yelp.com/biz/jeffreys-austin,(483 reviews)
115,Vamonos,https://www.yelp.com/biz/vamonos-austin,(296 reviews)
